Z    N    M
27   44   -45.350
27   45   -41.060
27   46   -38.640
27   47   -33.750
27   48   -30.650
27   49   -24.950
27   50   -20.570
27   51   -12.980
27   52   -6.030
27   53   2.560
27   54   9.600
27   55   18.670
27   56   26.160
27   57   35.860
27   58   44.280
27   59   54.840
28   18   44.170
28   19   31.800
28   20   17.010
28   21   8.180
28   22   -3.810
28   23   -11.610
28   24   -22.470
28   25   -29.560
28   26   -39.050
28   27   -44.920
28   28   -53.330
28   29   -56.090
28   30   -60.560
28   31   -61.670
28   32   -64.930
28   33   -64.610
28   34   -66.970
28   35   -65.630
28   36   -67.330
28   37   -65.190
28   38   -66.290
28   39   -63.720
28   40   -63.770
28   41   -60.360
28   42   -59.990
28   43   -56.210
28   44   -55.520
28   45   -51.330
28   46   -49.990
28   47   -45.170
28   48   -42.990
28   49   -37.130
28   50   -33.430
28   51   -25.850
28   52   -20.500
28   53   -12.810
28   54   -7.340
28   55   0.780
28   56   6.590
28   57   15.440
28   58   22.140
28   59   32.020
28   60   39.840
28   61   51.120
29   19   43.870
29   20   28.650
29   21   18.780
29   22   6.550
29   23   -2.490
29   24   -13.750
29   25   -21.900
29   26   -31.810
29   27   -38.700
29   28   -47.330
29   29   -51.930
29   30   -56.480
29   31   -58.580
29   32   -62.110
29   33   -62.950
29   34   -65.520
29   35   -65.450
29   36   -67.090
29   37   -66.240
29   38   -67.330
29   39   -65.710
29   40   -65.810
29   41   -63.440
29   42   -63.010
29   43   -60.260
29   44   -59.590
29   45   -56.450
29   46   -55.220
29   47   -51.460
29   48   -49.360
29   49   -44.590
29   50   -41.280
29   51   -34.370
29   52   -28.930
29   53   -21.840
29   54   -16.350
29   55   -8.980
29   56   -3.160
29   57   4.760
29   58   11.460
29   59   20.440
29   60   28.050
29   61   38.340
29   62   47.520
29   63   59.560
30   20   38.660
30   21   28.610
30   22   15.180
30   23   5.790
30   24   -6.480
30   25   -14.990
30   26   -25.860
30   27   -32.920
30   28   -42.790
30   29   -47.480
30   30   -54.140
30   31   -56.410
30   32   -61.030
30   33   -62.050
30   34   -65.880
30   35   -65.780
30   36   -68.750
30   37   -67.930
30   38   -70.020
30   39   -68.510
30   40   -69.720
30   41   -67.330
30   42   -67.970
30   43   -65.280
30   44   -65.670
30   45   -62.640
30   46   -62.440
30   47   -58.720
30   48   -57.660
30   49   -53.160
30   50   -51.050
30   51   -44.230
30   52   -39.550
30   53   -32.550
30   54   -27.920
30   55   -20.610
30   56   -15.760
30   57   -7.860
30   58   -2.030
30   59   6.810
30   60   13.520
30   61   23.460
30   62   31.540
30   63   42.850
30   64   52.540
30   65   65.550
31   23   16.820
31   24   4.230
31   25   -5.200
31   26   -16.190
31   27   -24.450
31   28   -34.660
31   29   -40.350
31   30   -47.190
31   31   -51.840
31   32   -56.540
31   33   -58.760
31   34   -62.520
31   35   -63.740
31   36   -66.740
31   37   -66.940
31   38   -69.170
31   39   -68.800
31   40   -70.030
31   41   -68.750
31   42   -69.470
31   43   -67.870
31   44   -68.370
31   45   -66.370
31   46   -66.180
31   47   -63.430
31   48   -62.570
31   49   -59.180
31   50   -57.460
31   51   -51.510
31   52   -47.050
31   53   -41.020
31   54   -36.530
31   55   -30.250
31   56   -25.440
31   57   -18.410
31   58   -12.700
31   59   -4.700
31   60   1.750
31   61   10.710
31   62   18.210
31   63   28.370
31   64   37.170
31   65   48.790
31   66   59.180
32   23   26.560
32   24   13.080
32   25   3.570
32   26   -8.580
32   27   -17.140
32   28   -28.460
32   29   -34.440
32   30   -42.370
32   31   -47.100
32   32   -54.450
32   33   -56.500
32   34   -61.510
32   35   -62.730
32   36   -66.730
32   37   -67.080
32   38   -70.450
32   39   -70.120
32   40   -72.470
32   41   -71.290
32   42   -73.110
32   43   -71.630
32   44   -73.150
32   45   -71.140
32   46   -71.890
32   47   -69.300
32   48   -69.460
32   49   -66.360
32   50   -65.660
32   51   -60.030
32   52   -56.610
32   53   -50.790
32   54   -47.390
32   55   -41.200
32   56   -37.290
32   57   -30.370
32   58   -25.470
32   59   -17.670
32   60   -12.120
32   61   -3.630
32   62   2.860
32   63   12.290
32   64   19.910
32   65   30.570
32   66   39.620
32   67   51.820
32   68   62.130
33   26   2.780
33   27   -6.850
33   28   -18.460
33   29   -25.600
33   30   -33.710
33   31   -39.650
33   32   -46.840
33   33   -51.730
33   34   -56.660
33   35   -58.810
33   36   -62.910
33   37   -64.380
33   38   -67.780
33   39   -68.580
33   40   -71.030
33   41   -70.970
33   42   -72.910
33   43   -72.440
33   44   -73.950
33   45   -72.860
33   46   -73.720
33   47   -72.100
33   48   -72.470
33   49   -70.290
33   50   -69.930
33   51   -65.420
33   52   -62.280
33   53   -57.610
33   54   -54.330
33   55   -49.060
33   56   -45.270
33   57   -39.160
33   58   -34.430
33   59   -27.470
33   60   -22.310
33   61   -14.730
33   62   -8.840
33   63   -0.440
33   64   6.390
33   65   15.910
33   66   24.100
33   67   34.630
33   68   43.970
33   69   55.660
33   70   66.160
34   25   25.140
34   26   11.690
34   27   1.810
34   28   -10.900
34   29   -18.250
34   30   -27.650
34   31   -33.530
34   32   -41.970
34   33   -46.780
34   34   -54.340
34   35   -56.510
34   36   -61.690
34   37   -63.150
34   38   -67.660
34   39   -68.540
34   40   -72.110
34   41   -72.160
34   42   -75.120
34   43   -74.630
34   44   -77.040
34   45   -76.040
34   46   -77.830
34   47   -76.360
34   48   -77.590
34   49   -75.660
34   50   -76.390
34   51   -72.180
34   52   -70.230
34   53   -65.710
34   54   -63.380
34   55   -58.250
34   56   -55.260
34   57   -49.300
34   58   -45.380
34   59   -38.770
34   60   -34.450
34   61   -27.370
34   62   -22.400
34   63   -14.660
34   64   -8.800
34   65   0.030
34   66   6.750
34   67   16.530
34   68   24.330
34   69   34.980
34   70   43.940
34   71   55.810
34   72   65.920
35   27   13.410
35   28   0.590
35   29   -8.060
35   30   -17.430
35   31   -24.640
35   32   -33.090
35   33   -38.840
35   34   -46.420
35   35   -51.450
35   36   -56.540
35   37   -59.060
35   38   -63.630
35   39   -65.610
35   40   -69.280
35   41   -70.340
35   42   -73.270
35   43   -73.680
35   44   -76.170
35   45   -76.070
35   46   -77.990
35   47   -77.320
35   48   -78.730
35   49   -77.800
35   50   -78.760
35   51   -75.760
35   52   -73.980
35   53   -70.430
35   54   -68.250
35   55   -63.920
35   56   -61.080
35   57   -55.910
35   58   -52.290
35   59   -46.470
35   60   -42.580
35   61   -36.350
35   62   -31.930
35   63   -25.040
35   64   -19.730
35   65   -12.210
35   66   -6.070
35   67   2.370
35   68   9.320
35   69   18.650
35   70   26.700
35   71   37.070
35   72   46.050
35   73   57.220
35   74   66.920
36   27   23.280
36   28   9.270
36   29   0.660
36   30   -10.050
36   31   -17.310
36   32   -26.770
36   33   -32.630
36   34   -41.290
36   35   -46.240
36   36   -54.220
36   37   -56.750
36   38   -62.370
36   39   -64.430
36   40   -69.100
36   41   -70.120
36   42   -73.940
36   43   -74.420
36   44   -77.800
36   45   -77.810
36   46   -80.500
36   47   -79.980
36   48   -82.320
36   49   -81.550
36   50   -83.620
36   51   -80.800
36   52   -79.980
36   53   -76.580
36   54   -75.210
36   55   -71.020
36   56   -68.950
36   57   -64.060
36   58   -61.200
36   59   -55.770
36   60   -52.660
36   61   -46.890
36   62   -43.240
36   63   -36.790
36   64   -32.670
36   65   -25.590
36   66   -20.640
36   67   -12.880
36   68   -7.060
36   69   1.540
36   70   8.290
36   71   17.740
36   72   25.430
36   73   35.700
36   74   43.710
36   75   54.430
36   76   62.850
37   29   12.090
37   30   1.330
37   31   -6.960
37   32   -16.570
37   33   -23.560
37   34   -32.220
37   35   -38.230
37   36   -46.230
37   37   -51.640
37   38   -57.300
37   39   -60.330
37   40   -64.950
37   41   -66.860
37   42   -70.740
37   43   -72.110
37   44   -75.590
37   45   -76.360
37   46   -79.170
37   47   -79.550
37   48   -82.010
37   49   -82.280
37   50   -84.440
37   51   -82.560
37   52   -81.890
37   53   -79.290
37   54   -78.040
37   55   -74.610
37   56   -72.810
37   57   -68.650
37   58   -66.140
37   59   -61.440
37   60   -58.740
37   61   -53.670
37   62   -50.370
37   63   -45.020
37   64   -41.230
37   65   -35.220
37   66   -30.820
37   67   -24.050
37   68   -18.800
37   69   -11.320
37   70   -5.320
37   71   3.010
37   72   9.980
37   73   18.750
37   74   26.140
37   75   35.360
37   76   42.930
37   77   52.420
37   78   59.890
38   30   10.040
38   31   1.590
38   32   -9.180
38   33   -16.200
38   34   -25.970
38   35   -32.060
38   36   -41.100
38   37   -46.560
38   38   -54.990
38   39   -57.940
38   40   -63.440
38   41   -65.410
38   42   -70.190
38   43   -71.660
38   44   -75.900
38   45   -76.790
38   46   -80.500
38   47   -80.970
38   48   -84.440
38   49   -84.740
38   50   -87.760
38   51   -86.000
38   52   -86.100
38   53   -83.610
38   54   -83.120
38   55   -79.930
38   56   -78.840
38   57   -75.000
38   58   -73.190
38   59   -68.850
38   60   -66.790
38   61   -62.010
38   62   -59.740
38   63   -54.630
38   64   -51.820
38   65   -46.240
38   66   -42.710
38   67   -36.390
38   68   -32.130
38   69   -25.260
38   70   -20.230
38   71   -12.470
38   72   -6.840
38   73   1.460
38   74   7.510
38   75   16.040
38   76   22.440
38   77   31.100
38   78   37.520
38   79   45.810
38   80   51.510
39   31   12.970
39   32   2.150
39   33   -6.010
39   34   -15.880
39   35   -23.060
39   36   -32.190
39   37   -38.630
39   38   -46.980
39   39   -52.510
39   40   -58.050
39   41   -60.920
39   42   -65.820
39   43   -68.060
39   44   -72.440
39   45   -74.240
39   46   -78.040
39   47   -79.520
39   48   -83.000
39   49   -84.130
39   50   -87.200
39   51   -86.180
39   52   -86.370
39   53   -84.610
39   54   -84.330
39   55   -81.830
39   56   -81.040
39   57   -77.870
39   58   -76.390
39   59   -72.660
39   60   -70.840
39   61   -67.030
39   62   -64.930
39   63   -60.720
39   64   -58.270
39   65   -53.470
39   66   -50.280
39   67   -44.840
39   68   -41.080
39   69   -35.060
39   70   -30.470
39   71   -23.910
39   72   -18.620
39   73   -11.530
39   74   -6.050
39   75   1.430
39   76   7.130
39   77   14.840
39   78   20.760
39   79   28.030
39   80   33.330
39   81   39.690
39   82   43.910
40   32   11.020
40   33   2.740
40   34   -8.240
40   35   -15.530
40   36   -25.670
40   37   -32.060
40   38   -41.290
40   39   -46.870
40   40   -54.850
40   41   -57.850
40   42   -63.540
40   43   -65.950
40   44   -71.260
40   45   -73.170
40   46   -78.000
40   47   -79.510
40   48   -83.820
40   49   -84.990
40   50   -88.750
40   51   -87.790
40   52   -88.670
40   53   -87.110
40   54   -87.490
40   55   -85.280
40   56   -85.130
40   57   -82.270
40   58   -81.360
40   59   -77.830
40   60   -76.940
40   61   -73.250
40   62   -72.000
40   63   -68.080
40   64   -66.330
40   65   -61.790
40   66   -59.400
40   67   -54.360
40   68   -51.340
40   69   -45.660
40   70   -42.170
40   71   -35.840
40   72   -31.660
40   73   -25.030
40   74   -20.490
40   75   -13.610
40   76   -8.770
40   77   -1.480
40   78   3.480
40   79   10.400
40   80   14.870
40   81   20.920
40   82   24.580
40   83   30.830
40   84   36.800
41   33   14.250
41   34   3.140
41   35   -5.170
41   36   -15.280
41   37   -22.560
41   38   -31.850
41   39   -38.340
41   40   -46.450
41   41   -51.540
41   42   -57.430
41   43   -60.810
41   44   -66.280
41   45   -69.260
41   46   -74.160
41   47   -76.530
41   48   -80.900
41   49   -82.770
41   50   -86.570
41   51   -86.270
41   52   -87.330
41   53   -86.400
41   54   -87.050
41   55   -85.450
41   56   -85.590
41   57   -83.280
41   58   -82.550
41   59   -79.920
41   60   -79.120
41   61   -76.230
41   62   -75.220
41   63   -71.940
41   64   -70.390
41   65   -66.590
41   66   -64.520
41   67   -60.140
41   68   -57.370
41   69   -52.700
41   70   -49.360
41   71   -44.040
41   72   -40.230
41   73   -34.450
41   74   -30.440
41   75   -24.340
41   76   -19.860
41   77   -13.470
41   78   -8.810
41   79   -2.700
41   80   1.450
41   81   6.930
41   82   10.460
41   83   17.310
41   84   23.950
41   85   32.850
41   86   40.960
42   35   3.560
42   36   -7.450
42   37   -14.800
42   38   -25.000
42   39   -31.600
42   40   -40.510
42   41   -45.800
42   42   -53.640
42   43   -57.240
42   44   -63.850
42   45   -66.960
42   46   -72.770
42   47   -75.250
42   48   -80.380
42   49   -82.330
42   50   -86.820
42   51   -86.650
42   52   -88.330
42   53   -87.640
42   54   -88.890
42   55   -87.570
42   56   -88.240
42   57   -86.090
42   58   -86.240
42   59   -83.670
42   60   -83.640
42   61   -80.950
42   62   -80.540
42   63   -77.420
42   64   -76.550
42   65   -73.000
42   66   -71.540
42   67   -67.340
42   68   -65.520
42   69   -60.920
42   70   -58.510
42   71   -53.490
42   72   -50.450
42   73   -45.130
42   74   -41.830
42   75   -36.040
42   76   -32.410
42   77   -26.290
42   78   -22.420
42   79   -16.620
42   80   -13.050
42   81   -7.750
42   82   -4.640
42   83   2.890
42   84   9.370
42   85   18.360
42   86   25.870
42   87   35.540
42   88   43.200
43   36   3.950
43   37   -4.290
43   38   -14.610
43   39   -21.990
43   40   -31.060
43   41   -37.330
43   42   -45.400
43   43   -50.690
43   44   -57.510
43   45   -61.630
43   46   -67.630
43   47   -70.940
43   48   -76.210
43   49   -78.920
43   50   -83.650
43   51   -84.070
43   52   -85.960
43   53   -85.860
43   54   -87.380
43   55   -86.580
43   56   -87.410
43   57   -86.110
43   58   -86.310
43   59   -84.490
43   60   -84.640
43   61   -82.530
43   62   -82.240
43   63   -79.760
43   64   -79.100
43   65   -76.110
43   66   -74.770
43   67   -71.460
43   68   -69.650
43   69   -65.920
43   70   -63.740
43   71   -59.440
43   72   -56.800
43   73   -52.140
43   74   -49.100
43   75   -44.110
43   76   -40.720
43   77   -35.370
43   78   -31.810
43   79   -26.610
43   80   -23.250
43   81   -18.430
43   82   -15.290
43   83   -7.900
43   84   -1.310
43   85   7.080
43   86   14.240
43   87   23.050
43   88   30.060
43   89   38.650
43   90   45.660
43   91   54.920
43   92   62.900
44   37   4.320
44   38   -6.770
44   39   -14.290
44   40   -24.300
44   41   -30.740
44   42   -39.940
44   43   -45.450
44   44   -53.320
44   45   -57.740
44   46   -64.680
44   47   -68.240
44   48   -74.360
44   49   -77.390
44   50   -82.890
44   51   -83.510
44   52   -85.990
44   53   -86.150
44   54   -88.190
44   55   -87.540
44   56   -89.220
44   57   -87.970
44   58   -88.910
44   59   -87.260
44   60   -87.970
44   61   -85.960
44   62   -86.290
44   63   -83.990
44   64   -83.850
44   65   -80.950
44   66   -80.450
44   67   -77.100
44   68   -76.110
44   69   -72.560
44   70   -71.050
44   71   -67.090
44   72   -65.070
44   73   -60.610
44   74   -58.340
44   75   -53.570
44   76   -50.930
44   77   -45.880
44   78   -42.930
44   79   -37.970
44   80   -35.140
44   81   -30.350
44   82   -27.690
44   83   -20.190
44   84   -14.180
44   85   -6.130
44   86   0.190
44   87   8.360
44   88   14.360
44   89   22.630
44   90   29.340
44   91   38.370
44   92   45.960
44   93   55.760
44   94   64.050
45   38   4.660
45   39   -3.770
45   40   -13.920
45   41   -21.430
45   42   -30.760
45   43   -37.280
45   44   -45.450
45   45   -50.220
45   46   -57.550
45   47   -62.100
45   48   -68.670
45   49   -72.590
45   50   -78.590
45   51   -79.790
45   52   -82.520
45   53   -83.210
45   54   -85.400
45   55   -85.620
45   56   -87.350
45   57   -86.860
45   58   -87.970
45   59   -86.880
45   60   -87.680
45   61   -86.280
45   62   -86.770
45   63   -84.970
45   64   -84.890
45   65   -82.790
45   66   -82.230
45   67   -79.660
45   68   -78.810
45   69   -75.880
45   70   -74.670
45   71   -71.280
45   72   -69.430
45   73   -65.710
45   74   -63.620
45   75   -59.590
45   76   -57.240
45   77   -52.800
45   78   -50.110
45   79   -45.710
45   80   -42.980
45   81   -38.750
45   82   -36.050
45   83   -29.130
45   84   -23.450
45   85   -16.220
45   86   -10.530
45   87   -3.360
45   88   2.330
45   89   10.330
45   90   16.830
45   91   25.480
45   92   32.670
45   93   41.770
45   94   49.670
46   39   4.950
46   40   -6.220
46   41   -13.810
46   42   -24.070
46   43   -30.780
46   44   -39.900
46   45   -45.050
46   46   -52.030
46   47   -57.190
46   48   -64.810
46   49   -69.380
46   50   -76.400
46   51   -77.870
46   52   -81.140
46   53   -82.010
46   54   -85.090
46   55   -85.380
46   56   -87.880
46   57   -87.580
46   58   -89.260
46   59   -88.270
46   60   -89.680
46   61   -88.440
46   62   -89.420
46   63   -87.660
46   64   -88.380
46   65   -86.190
46   66   -86.370
46   67   -83.910
46   68   -83.650
46   69   -80.990
46   70   -80.310
46   71   -77.060
46   72   -75.910
46   73   -72.350
46   74   -70.980
46   75   -67.220
46   76   -65.490
46   77   -61.320
46   78   -59.210
