Z    N            M
15   42      121.13
16   41       90.18
17   40       62.63
18   39       37.22
19   38       15.59
20   37       -4.51
21   36      -20.35
22   35      -33.97
23   34      -44.16
24   33      -52.46
25   32      -57.16
26   31      -59.83
27   30      -59.36
28   29      -56.42
29   28      -47.62
30   27      -33.11
31   26      -15.77
32   25        4.28
33   24       27.22
34   23       52.99
14   44      164.28
15   43      131.45
16   42       98.07
17   41       71.89
18   40       43.26
19   39       22.99
20   38       -0.06
21   37      -14.24
22   36      -31.11
23   35      -40.31
24   34      -51.80
25   33      -55.31
26   32      -61.54
27   31      -59.69
28   30      -60.72
29   29      -51.98
30   28      -42.94
31   27      -24.09
32   26       -8.05
33   25       16.17
34   24       37.81
14   45      176.25
15   44      141.39
16   43      108.49
17   42       80.43
18   41       53.08
19   40       29.45
20   39        7.68
21   38       -9.62
22   37      -25.67
23   36      -37.86
24   35      -48.29
25   34      -55.15
26   33      -60.13
27   32      -61.99
28   31      -61.60
29   30      -56.92
30   29      -47.93
31   28      -34.48
32   27      -16.99
33   26        3.34
34   25       26.22
36   23       80.50
14   46      186.28
15   45      151.85
16   44      116.93
17   43       89.50
18   42       59.63
19   41       37.43
20   40       12.41
21   39       -3.49
22   38      -22.20
23   37      -33.43
24   36      -46.84
25   35      -52.56
26   34      -60.86
27   33      -61.38
28   32      -64.67
29   31      -58.43
30   30      -55.06
31   29      -40.17
32   28      -28.11
33   27       -6.47
34   26       12.52
36   24       63.90
14   47      197.73
15   46      161.98
16   45      127.54
17   44       97.24
18   43       69.36
19   42       44.47
20   41       20.81
21   40        1.48
22   39      -15.88
23   38      -30.31
24   37      -42.72
25   36      -51.55
26   35      -58.65
27   34      -62.64
28   33      -64.54
29   32      -62.09
30   31      -57.12
31   30      -47.85
32   29      -34.40
33   28      -18.10
34   27        2.16
35   26       25.28
36   25       50.81
14   48      207.25
15   47      171.94
16   46      136.16
17   45      106.48
18   44       75.79
19   43       52.34
20   42       26.07
21   41        8.31
22   40      -12.48
23   39      -25.06
24   38      -40.62
25   37      -48.36
26   36      -58.56
27   35      -61.26
28   34      -66.59
29   33      -62.65
30   32      -61.44
31   31      -52.09
32   30      -42.71
33   29      -25.15
34   28      -10.25
35   27       14.01
36   26       35.76
14   49      218.55
15   48      181.63
16   47      146.34
17   46      115.15
18   45       85.12
19   44       59.36
20   43       34.46
21   42       13.98
22   41       -5.31
23   40      -21.52
24   39      -36.00
25   38      -46.65
26   37      -55.70
27   36      -61.63
28   35      -65.63
29   34      -65.24
30   33      -62.50
31   32      -57.06
32   31      -47.60
33   30      -33.97
34   29      -17.86
35   28        1.13
36   27       23.98
38   25       77.77
14   50      227.81
15   49      191.45
16   48      154.55
17   47      124.00
18   46       92.43
19   45       67.47
20   44       39.68
21   43       20.77
22   42       -1.18
23   41      -15.78
24   40      -33.50
25   39      -42.97
26   38      -54.92
27   37      -59.61
28   36      -66.82
29   35      -65.01
30   34      -65.80
31   33      -58.76
32   32      -54.68
33   31      -39.56
34   30      -27.36
35   29       -7.28
36   28       10.30
37   27       37.02
38   26       61.38
15   50      200.96
16   49      164.66
17   48      132.33
18   47      101.44
19   46       74.15
20   45       48.39
21   44       26.49
22   43        6.03
23   42      -11.37
24   41      -27.55
25   40      -40.82
26   39      -51.53
27   38      -59.25
28   37      -65.17
29   36      -66.70
30   35      -66.03
31   34      -62.66
32   33      -56.94
33   32      -47.20
34   31      -33.56
35   30      -17.26
36   29        1.37
37   28       22.92
38   27       48.22
15   51      212.71
16   50      172.71
17   49      141.11
18   48      108.44
19   47       81.94
20   46       53.88
21   45       33.56
22   44       10.19
23   43       -5.61
24   42      -24.54
25   41      -35.82
26   40      -50.32
27   39      -56.72
28   38      -65.65
29   37      -65.82
30   36      -68.47
31   35      -63.57
32   34      -61.49
33   33      -51.57
34   32      -41.83
35   31      -24.20
36   30       -9.35
37   29       13.15
38   28       33.28
15   52      225.20
16   51      185.00
17   50      149.36
18   49      117.45
19   48       89.02
20   47       61.78
21   46       39.65
22   45       17.78
23   44       -1.09
24   43      -18.47
25   42      -32.65
26   41      -45.88
27   40      -55.87
28   39      -63.43
29   38      -66.75
30   37      -68.00
31   36      -66.55
32   35      -62.91
33   34      -56.75
34   33      -46.83
35   32      -32.99
36   31      -16.84
37   30        1.98
38   29       23.02
39   28       47.01
40   27       74.50
16   52      196.19
17   51      160.47
18   50      124.39
19   49       96.83
20   48       67.65
21   47       46.51
22   46       22.26
23   45        5.01
24   44      -15.37
25   43      -27.91
26   42      -43.65
27   41      -52.28
28   40      -63.43
29   39      -65.33
30   38      -69.71
31   37      -66.80
32   36      -66.59
33   35      -58.81
34   34      -54.06
35   33      -38.68
36   32      -26.30
37   31       -6.30
38   30       11.08
39   29       35.87
40   28       58.32
17   52      171.98
18   51      135.86
19   50      103.92
20   49       75.63
21   48       51.87
22   47       29.73
23   46        9.95
24   45       -8.90
25   44      -24.57
26   43      -38.74
27   42      -50.34
28   41      -60.10
29   40      -65.74
30   39      -68.67
31   38      -69.00
32   37      -67.29
33   36      -63.07
34   35      -56.66
35   34      -46.46
36   33      -32.59
37   32      -16.25
38   31        2.28
39   30       23.51
40   29       46.74
18   52      146.10
19   51      114.22
20   50       81.53
21   49       58.81
22   48       34.07
23   47       15.91
24   46       -5.41
25   45      -19.45
26   44      -36.69
27   43      -46.31
28   42      -59.02
29   41      -63.23
30   40      -69.88
31   39      -68.70
32   38      -70.22
33   37      -64.44
34   36      -61.56
35   35      -51.09
36   34      -40.98
37   33      -23.25
38   32       -8.37
39   31       13.90
40   30       33.57
42   28       86.59
18   53      158.29
19   52      124.65
20   51       92.06
21   50       64.85
22   49       41.15
23   48       20.79
24   47        1.01
25   46      -15.65
26   45      -31.32
27   44      -44.13
28   43      -55.52
29   42      -62.52
30   41      -67.71
31   40      -70.36
32   39      -70.33
33   38      -67.90
34   37      -63.43
35   36      -56.61
36   35      -46.23
37   34      -32.16
38   33      -15.93
39   32        2.80
40   31       23.49
41   30       47.67
42   29       73.68
18   54      169.26
19   53      135.64
20   52      101.27
21   51       74.23
22   50       46.14
23   49       26.91
24   48        4.43
25   47      -10.61
26   46      -28.84
27   45      -40.00
28   44      -54.22
29   43      -59.85
30   42      -67.82
31   41      -68.94
32   40      -72.74
33   39      -68.70
34   38      -67.57
35   37      -59.10
36   36      -53.71
37   35      -38.07
38   34      -25.48
39   33       -5.50
40   32       11.65
41   31       36.74
42   30       59.30
18   55      182.08
19   54      146.79
20   53      112.48
21   52       83.49
22   51       55.62
23   50       31.43
24   49       11.09
25   48       -6.78
26   47      -23.46
27   46      -37.32
28   45      -49.93
29   44      -58.86
30   43      -65.43
31   42      -69.45
32   41      -71.69
33   40      -71.59
34   39      -68.81
35   38      -63.80
36   37      -56.73
37   36      -46.08
38   35      -31.96
39   34      -15.53
40   33        2.84
41   32       24.50
42   31       47.94
18   56      193.69
19   55      158.38
20   54      122.37
21   53       93.52
22   52       63.69
23   51       39.84
24   50       14.67
25   49       -1.52
26   48      -20.99
27   47      -33.19
28   46      -48.46
29   45      -55.45
30   44      -65.28
31   43      -67.83
32   42      -72.95
33   41      -71.24
34   40      -72.39
35   39      -65.68
36   38      -62.05
37   37      -51.04
38   36      -40.57
39   35      -22.70
40   34       -7.86
41   33       14.92
42   32       34.94
44   30       86.50
19   56      170.17
20   55      134.19
21   54      103.48
22   53       73.84
23   52       47.90
24   51       23.11
25   50        2.54
26   49      -15.31
27   48      -30.43
28   47      -44.11
29   46      -53.92
30   45      -62.40
31   44      -68.02
32   43      -71.65
33   42      -72.93
34   41      -72.44
35   40      -69.77
36   39      -64.42
37   38      -56.96
38   37      -46.13
39   36      -31.81
40   35      -15.56
41   34        3.79
42   33       24.91
43   32       48.56
44   31       73.91
20   56      144.69
21   55      114.08
22   54       82.58
23   53       56.94
24   52       30.07
25   51       10.00
26   50      -12.62
27   49      -26.04
28   48      -42.59
29   47      -50.75
30   46      -61.72
31   45      -65.93
32   44      -72.60
33   43      -72.34
34   42      -74.83
35   41      -70.47
36   40      -69.15
37   39      -59.92
38   38      -53.92
39   37      -38.01
40   36      -25.29
41   35       -4.62
42   34       13.09
43   33       37.75
44   32       59.77
20   57      157.03
21   56      124.66
22   55       93.31
23   54       65.69
24   53       39.16
25   52       16.41
26   51       -4.74
27   50      -22.98
28   49      -37.89
29   48      -49.08
30   47      -58.46
31   46      -65.54
32   45      -70.78
33   44      -73.66
34   43      -74.58
35   42      -73.32
36   41      -70.27
37   40      -65.19
38   39      -57.40
39   38      -46.31
40   37      -32.03
41   36      -14.79
42   35        4.20
43   34       25.55
44   33       48.56
20   58      168.06
21   57      135.76
22   56      102.64
23   55       75.28
24   54       46.78
25   53       24.47
26   52        0.68
27   51      -16.47
28   50      -36.10
29   49      -45.60
30   48      -57.94
31   47      -63.08
32   46      -71.17
33   45      -72.56
34   44      -76.61
35   43      -73.72
36   42      -73.76
37   41      -66.92
38   40      -63.26
39   39      -51.64
40   38      -40.91
41   37      -22.19
42   36       -6.60
43   35       15.94
44   34       35.65
46   32       86.66
20   59      180.84
21   58      146.87
22   57      113.87
23   56       84.64
24   55       56.44
25   54       32.04
26   53        8.74
27   52      -10.69
28   51      -29.26
29   50      -43.59
30   49      -54.29
31   48      -62.50
32   47      -69.20
33   46      -73.27
34   45      -75.81
